Id,X,Y,Z,Formation
0,39.29703834932591,76.97543155290349,9.42836148829631,s1
1,96.97066281870293,95.540042414169,8.893714730869952,s4
2,29.02406162214068,46.38791425098754,2.4772017827544084,s1
3,62.32739990950333,56.71530550837431,8.027911753492846,s3
4,93.83019148908471,75.15956160027814,1.3190230275259376,s1
5,91.74549318563466,82.48264384802576,7.526287485428497,s4
6,30.784718531749146,91.01729590676362,6.65970547650283,s4
7,78.369844903009,66.52458907462417,3.6189651031873358,s1
8,63.937677968544925,88.14414091674651,4.1687698014201375,s4
9,43.66546144607839,97.50511243786333,5.018763843844776,s3
10,60.02985464132647,88.60871958518455,1.8875411504362394,s3
11,70.9873669017695,83.67801860953868,6.280284170290003,s1
12,27.932821194477416,4.343146609184476,1.6886277077884615,s3
13,15.870544239159116,78.61362946801712,1.1393866162776787,s2
14,61.327426775603456,72.21164868485239,1.2692860697797554,s4
15,49.69396453399647,77.2889377912045,3.7905535386217317,s1
16,21.123093206465885,17.146791237476066,8.815657185222449,s4
17,80.77718535229963,22.50689142833139,2.717501491470072,s2
18,63.96223442417289,10.340081663982867,2.015465697208482,s2
19,73.34824047723832,18.12408287581855,8.755677424827736,s2
20,99.73807591191023,87.19073801059741,1.581460442997383,s4
21,85.7639168397126,33.177172511495854,9.672834771799716,s1
22,69.21991435012387,82.13673796531606,3.252996992555005,s4
23,66.70955293114429,97.79123453457865,6.632077294542348,s4
24,25.955635981506013,49.61550574606325,7.930086085799878,s2
25,9.858160900330175,49.8857416341415,9.341400901909255,s3
26,80.08243915499912,37.7564304516121,9.630621005747768,s1
27,60.580146116031656,57.243406599170065,5.102379680087196,s1
28,35.56409365038848,68.93737819039139,3.996518462321357,s1
29,40.3302506526953,17.631533705946477,8.105991022220167,s2
30,19.93924531746743,10.67305877648532,1.449142584208396,s4
31,91.45804728044557,84.15655160606497,5.919303251916817,s1
32,94.33615428628391,38.134249936431516,9.554414715562771,s4
33,80.81015344172307,46.940027643307566,2.960086385765945,s2
34,44.20692210083557,47.44761789975037,1.4862635377894087,s2
35,39.41958622001168,67.51680369954684,3.366066231367482,s1
36,24.319505109313106,25.957909510591982,3.046804882944892,s3
37,21.983524900894434,7.978260869330358,5.862235578371173,s1
38,91.33111260104586,21.34169975919833,9.141790099442513,s2
39,18.5838279669854,34.00284427021131,9.365330519348253,s2
40,4.505431059085298,51.9124553895699,9.247318576079586,s2
41,52.09737903808901,59.588210466725116,3.3377837348168073,s2
42,40.66513279998219,42.432207364023974,9.884210153681096,s4
43,23.422032456460474,4.636668231431821,2.634268849473258,s2
44,2.8941465989383146,3.6098734733767417,6.8042353636771296,s2
45,72.85270593398987,84.47480425336308,8.066210513563567,s1
46,87.1434988622355,20.70207235705332,1.356963528259303,s1
47,43.62215153068979,53.13272597213338,4.896131838599655,s2
48,35.13582999414865,32.566558313719554,9.261351407506668,s4
49,52.029752075817164,89.03108064869411,2.695891365606387,s3
50,11.55903264160825,30.694548902299275,4.905460646052105,s2
51,11.024189767403374,93.1854488098329,1.8907414524349533,s4
52,65.4497710914793,73.38107973419794,2.5367670883991025,s2
53,83.23893673572398,39.46763475303639,7.145149427214456,s4
54,67.40812895888382,27.26274790525204,9.248196277808336,s1
55,34.90483956394585,77.37532955809826,5.580453811252513,s4
56,42.10416723225632,75.94797540737206,8.323307752990686,s4
57,19.11313149158698,50.4327409110631,2.2117442430168985,s3
58,11.144345848432835,56.24548453103103,1.99849745257196,s3
59,85.1373218202448,58.043698100974865,9.870476604766175,s4
60,18.505435176982814,5.352701197528831,1.4459800586475569,s1
61,59.661497318279906,14.437928340479075,3.352092026182471,s4
62,40.53526377800807,59.25217380823612,6.23214169547023,s2
63,71.59652257965587,56.884215952465254,4.366019369520396,s3
64,18.273505377384208,65.57965607327151,7.953529033462334,s4
65,79.42097426721917,21.239886933096273,6.91470316546128,s3
66,49.86031774361685,38.9579926322206,3.6639173317385403,s1
67,60.76040591805898,16.441181212040128,2.9800340274302064,s1
68,45.746820834194054,46.69822235228267,2.2085072743438348,s1
69,76.71584596711692,49.928586941709156,1.292005296281069,s3
70,56.624408807632264,33.25674283287511,6.173050368472712,s2
71,17.03351069064766,89.223724455963,9.188681993341685,s1
72,86.55224734684724,87.78073220370683,8.488716723184716,s3
73,13.865020312252081,33.49136179387716,2.473482811810777,s1
74,45.48313333295485,25.02680642452832,4.125229028835753,s4
75,90.64783966651584,26.66048038164277,4.147034084372866,s1
76,7.829547177576723,38.80761055267274,9.720779550856994,s4
77,86.52737197302939,5.041469641289872,8.407594439804061,s2
78,50.72106973931219,34.48225816614804,6.829590474375857,s3
79,80.63311949696039,36.98267783336961,4.852539298557908,s2
80,58.606420030995785,62.76184718188322,1.746212411248979,s4
81,1.332772009942921,14.821378035380159,3.6563614064589864,s3
82,42.44197802723384,88.99579503499093,1.8142800538288202,s1
83,93.59831225146819,2.6498021927022974,3.844047648897711,s1
84,61.741976014669376,61.98265887753283,9.022114318979092,s2
85,9.851885001045869,4.2669447020757385,8.603767325673658,s4
86,64.22762171670391,71.35517934412921,7.869892589719475,s2
87,15.415759484111884,25.781474366347805,5.223225006445422,s3
88,83.45042580278924,72.14070061673407,5.487969208737613,s4
89,52.350236857006806,91.55118894611141,1.0127185151191251,s4
90,1.61722999062253,62.72799910185921,6.402381004005852,s3
91,21.547643500867554,99.64560173938807,5.0151237956511165,s1
92,58.26413099783846,90.16271512600613,8.74579270739197,s2
93,20.19212911079715,51.91476098320262,3.6492424785130124,s1
94,24.4835396950836,61.08304701380182,6.624252051079521,s1
95,58.10210439605581,59.14131968590837,2.7406088397543567,s3
96,84.68899381770746,65.66341961031789,9.362221023068104,s1
97,5.54281671652741,83.70226327867857,1.311076088148215,s1
98,7.963814796463066,76.76821576215951,6.772663367202564,s2
99,18.4605171696864,19.922199521466727,7.475900830567916,s1
